CountryCode,state,city,lat,lon,area_code,zip_code
us,Virginia,Lynchburg,37.4138,-79.1423,434,24501
us,Michigan,Kalamazoo,42.2917,-85.5872,269,49001
us,California,Redlands,34.0556,-117.1825,909,92373
us,New Hampshire,Concord,43.2081,-71.5375,603,03301
us,Wyoming,Casper,42.85,-106.32,307,82601
us,Missouri,Jefferson City,38.5767,-92.1735,573,65101
us,Texas,Longview,32.5,-94.74,"903, 430",75601
us,Colorado,Grand Junction,39.0639,-108.55,970,81501
us,South Carolina,Spartanburg,34.9496,-81.932,864,29301
us,California,Carlsbad,33.1581,-117.3502,760,92008
us,Oregon,Redmond,44.2587,-121.3153,541,97756
us,Ohio,Westerville,40.1263,-82.933,614,43081
us,Wisconsin,Brookfield,43.08,-88.1074,262,53005
us,Illinois,Danville,40.1231,-87.6306,217,61832
us,Georgia,Marietta,33.9526,-84.5499,770,30060
us,Wisconsin,Kenosha,42.5847,-87.8211,262,53140
us,Michigan,Battle Creek,42.3194,-85.1794,269,49014
us,Florida,Gainesville,29.6516,-82.3248,352,32601
us,Indiana,Muncie,40.1934,-85.3863,765,47302
us,Indiana,Evansville,37.9716,-87.5711,812,47708
us,Texas,Waco,31.5497,-97.1467,254,76701
us,California,Glendora,34.1366,-117.8654,626,91740
us,Iowa,Waterloo,42.4925,-92.3126,319,50701
us,Idaho,Meridian,43.6121,-116.3915,208,83642
us,Indiana,Anderson,40.105,-85.6801,765,46011
us,Missouri,O'Fallon,38.8104,-90.6983,636,63366
us,Texas,San Marcos,29.884,-97.9414,512,78666
us,Massachusetts,Haverhill,42.7762,-71.0775,978,01830
us,Ohio,Elyria,41.3685,-82.1076,440,44035
us,Texas,McKinney,33.1977,-96.6398,"214, 469, 972",75069
us,South Carolina,Sumter,33.9207,-80.3415,803,29150
us,Illinois,Wheaton,41.8662,-88.1061,630,60187
us,Idaho,Pocatello,42.8713,-112.4455,208,83201
us,Wisconsin,La Crosse,43.8014,-91.2396,608,54601
us,Kansas,Shawnee,39.9396,-94.6739,"913, 785",66203
us,California,Madera,36.9613,-120.0608,559,93637
us,Wisconsin,Waukesha,43.0122,-88.231,262,53186
us,Washington,Puyallup,47.1852,-122.293,253,98371
us,Illinois,Decatur,39.8403,-88.9543,217,62521
us,Texas,Laredo,27.5069,-99.5075,956,78040
us,Michigan,Saginaw,43.419,-83.95,989,48601
us,Texas,Killeen,31.1171,-97.7278,254,76540
us,Kentucky,Paducah,37.0834,-88.607,270,42001
us,Missouri,Springfield,37.2087,-93.2923,417,65802
us,Oklahoma,Stillwater,36.1156,-97.0589,405,74074
us,Mississippi,Brookhaven,31.5536,-90.4352,601,39601
us,Texas,Seguin,29.5689,-97.9644,830,78155
us,Illinois,Peoria,40.6936,-89.5885,309,61601
us,Texas,Victoria,28.8053,-97.0025,361,77901
us,Ohio,Norwalk,41.2385,-82.6132,419,44857
us,Arkansas,Bentonville,36.3727,-94.2087,479,72712
us,Texas,New Braunfels,29.7047,-98.1245,830,78130
us,Illinois,Highland Park,42.1954,-87.7701,847,60035
us,Georgia,Macon,32.8407,-83.6324,478,31201
us,Tennessee,Jackson,35.6145,-88.8139,731,38301
us,Kentucky,Hopkinsville,36.8657,-87.4871,270,42240
us,Iowa,Ankeny,41.7311,-93.6025,515,50021
us,Texas,Cedar Park,30.5072,-97.8203,512,78613
us,Indiana,Westfield,40.042,-86.1284,317,46074
us,Minnesota,St. Cloud,45.5577,-94.1632,320,56301
us,Michigan,Owosso,42.987,-84.1896,989,48867
us,Georgia,Decatur,33.7748,-84.2963,404,30030
us,South Dakota,Watertown,44.898,-97.1197,605,57201
us,Ohio,Perrysburg,41.5577,-83.6523,419,43551
us,California,Turlock,37.4947,-120.8463,209,95380
us,Michigan,Novi,42.4818,-83.4755,248,48374
us,Georgia,Tifton,31.4581,-83.5042,229,31794
us,California,Clovis,36.8252,-119.7022,559,93611
us,Minnesota,Eagan,44.8092,-93.1668,651,55121
us,Colorado,Greeley,40.4233,-104.7091,970,80631
us,California,Merced,37.3022,-120.482,209,95340
us,Montana,Bozeman,45.6796,-111.0377,406,59715
us,Delaware,Dover,39.1582,-75.5244,302,19901
us,Colorado,Fort Collins,40.5853,-105.0844,970,80521
us,California,Martinez,38.0196,-122.134,925,94553
us,Illinois,Brookfield,41.8244,-87.8197,708,60513
us,Florida,West Palm Beach,26.7153,-80.0534,561,33401
us,Oregon,McMinnville,45.2045,-123.202,503,97128
us,Ohio,Zanesville,39.9407,-82.0138,740,43701
us,Colorado,Loveland,40.3977,-105.074,970,80537
us,Minnesota,Mankato,44.1638,-94.0004,507,56001
us,Illinois,Grayslake,42.3455,-88.0214,847,60030
us,Oklahoma,Norman,35.2226,-97.4395,405,73069
us,Indiana,Evansville,37.9716,-87.5711,812,47708
us,Wyoming,Sheridan,44.7962,-106.9564,307,82801
us,South Dakota,Aberdeen,45.4687,-98.48,605,57401
us,Minnesota,Woodbury,44.9233,-92.997,651,55125
us,Texas,Flower Mound,33.0216,-97.0957,972,75027
us,Colorado,Loveland,40.3977,-105.074,970,80537
us,Colorado,Wiggins,39.7472,-104.0162,970,80654
us,California,Lompoc,34.6391,-120.4579,805,93436
us,Georgia,Statesboro,32.4487,-81.782,912,30458
